Event,MapEvnt,
HIGH SURF,ROUGH SURF,
HIGH WIND,GUSTY WIND,
HIGH WIND,GUSTY WIND/HAIL,
HIGH WIND,GUSTY WIND/HVY RAIN,
HIGH WIND,GUSTY WIND/RAIN,
HIGH WIND,GUSTY WINDS,
HIGH WIND,HIGH WIND,
HIGH WIND,HIGH WIND (G40),
HIGH WIND,HIGH WINDS,
HIGH WIND,NON TSTM WIND,
HIGH WIND,NON-TSTM WIND,
HIGH WIND,WIND,
HIGH WIND,WIND AND WAVE,
HIGH WIND,WIND DAMAGE,
HIGH WIND,WINDS,
HURRICANE (TYPHOON),HURRICANE,
HURRICANE (TYPHOON),HURRICANE (TYPHOON),
HURRICANE (TYPHOON),HURRICANE EDOUARD,
HURRICANE (TYPHOON),HURRICANE/TYPHOON,
HURRICANE (TYPHOON),LANDSPOUT,
HURRICANE (TYPHOON),TYPHOON,
ICE STORM,FALLING SNOW/ICE,
ICE STORM,ICE JAM FLOOD (MINOR,
ICE STORM,ICE STORM,
ICE STORM,SNOW AND ICE,
LAKE-EFFECT SNOW,LAKE-EFFECT SNOW,
LAKESHORE FLOOD,LAKESHORE FLOOD,
LIGHTNING,LIGHTNING,
MARINE HAIL,MARINE HAIL,
MARINE HIGH WIND,MARINE HIGH WIND,
MARINE STRONG WIND,MARINE STRONG WIND,
MARINE THUNDERSTORM WIND,MARINE THUNDERSTORM WIND,
MARINE THUNDERSTORM WIND,MARINE TSTM WIND,
OTHER,DAM BREAK,
OTHER,DROWNING,
OTHER,MARINE ACCIDENT,
OTHER,OTHER,
RIP CURRENT,RIP CURRENT,
RIP CURRENT,RIP CURRENTS,
SEICHE,SEICHE,
SLEET,FREEZING DRIZZLE,
SLEET,FREEZING RAIN,
SLEET,FREEZING SPRAY,
SLEET,LIGHT FREEZING RAIN,
SLEET,SLEET,
STORM SURGE/TIDE,ASTRONOMICAL HIGH TIDE,
STORM SURGE/TIDE,STORM SURGE,
STORM SURGE/TIDE,STORM SURGE/TIDE,
STRONG WIND,GRADIENT WIND,
STRONG WIND,NON-SEVERE WIND DAMAGE,
STRONG WIND,STRONG WIND,
STRONG WIND,STRONG WINDS,
THUNDERSTORM WIND,THUNDERSTORM,
THUNDERSTORM WIND,THUNDERSTORM WIND,
THUNDERSTORM WIND,THUNDERSTORM WIND (G40),
THUNDERSTORM WIND,TSTM WIND,
THUNDERSTORM WIND,TSTM WIND,
THUNDERSTORM WIND,TSTM WIND  (G45),
THUNDERSTORM WIND,TSTM WIND (41),
THUNDERSTORM WIND,TSTM WIND (G35),
THUNDERSTORM WIND,TSTM WIND (G40),
THUNDERSTORM WIND,TSTM WIND (G45),
THUNDERSTORM WIND,TSTM WIND (G45),
THUNDERSTORM WIND,TSTM WIND 40,
THUNDERSTORM WIND,TSTM WIND 45,
THUNDERSTORM WIND,TSTM WIND AND LIGHTNING,
THUNDERSTORM WIND,TSTM WIND G45,
THUNDERSTORM WIND,TSTM WIND/HAIL,
TORNADO,DOWNBURST,
TORNADO,DRY MICROBURST,
TORNADO,MICROBURST,
TORNADO,TORNADO,
TORNADO,WET MICROBURST,
TORNADO,WHIRLWIND,
TROPICAL DEPRESSION,TROPICAL DEPRESSION,
TROPICAL STORM,TROPICAL STORM,
TSUNAMI,TSUNAMI,
VOLCANIC ASH,VOLCANIC ASH,
WATERSPOUT,WATERSPOUT,
WILDFIRE,BRUSH FIRE,
WILDFIRE,WILD/FOREST FIRE,
WILDFIRE,WILDFIRE,
WINTER STORM,WINTER STORM,
WINTER WEATHER,BLOWING SNOW,
WINTER WEATHER,COLD AND SNOW,
WINTER WEATHER,EARLY FROST,
WINTER WEATHER,EXCESSIVE SNOW,
WINTER WEATHER,HEAVY SNOW SHOWER,
WINTER WEATHER,ICY ROADS,
WINTER WEATHER,LAKE EFFECT SNOW,
WINTER WEATHER,LATE SEASON SNOW,
WINTER WEATHER,LIGHT SNOW,
WINTER WEATHER,LIGHT SNOWFALL,
WINTER WEATHER,MIXED PRECIP,
WINTER WEATHER,MIXED PRECIPITATION,
WINTER WEATHER,RAIN/SNOW,
WINTER WEATHER,SNOW,
WINTER WEATHER,SNOW SQUALL,
WINTER WEATHER,SNOW SQUALLS,
WINTER WEATHER,WINTER WEATHER,
WINTER WEATHER,WINTER WEATHER MIX,
WINTER WEATHER,WINTER WEATHER/MIX,
WINTER WEATHER,WINTRY MIX,
